"id","semester_nr","statistic_course","ba_program","other_ba","specialization","statistics_1","statistics_2","statistics_3","statistics_4"
1,3,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",5,3,1,1
2,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,3,3
3,4,0,"other","Msc Politics and Technology","other",4,3,3,3
4,4,0,"Management and Technology (TUM)",NA,"Medicine",5,4,2,3
5,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
6,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,2,1,2
7,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",5,5,5,3
8,4,1,"Management and Technology (TUM)",NA,"Chemistry",5,3,3,2
9,6,1,"Management and Technology (TUM)",NA,"Computer Engineering",5,4,4,5
10,4,1,"Management and Technology (TUM)",NA,"Medicine",4,3,3,3
11,8,1,"Management and Technology (TUM)",NA,"Chemistry",2,2,1,1
12,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",5,1,1,1
13,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,1,1,2
14,4,1,"Management and Technology (TUM)",NA,"Informatics",2,2,2,3
15,4,1,"other","Information Systems","none",1,1,1,1
16,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,2,2
17,6,0,"other","Exchange Student - Bachelor&#039;s in Industrial Engineering at Oklahoma State University","other",4,5,3,3
18,6,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",4,4,4,3
19,2,0,"Management and Technology (TUM)",NA,"Finance and Accounting",3,2,2,4
20,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",5,2,2,1
21,4,1,"Management and Technology (TUM)",NA,"Informatics",4,4,4,3
22,4,0,"other","information systems","none",1,1,1,1
23,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",5,4,3,4
24,4,1,"Management and Technology (TUM)",NA,"Informatics",3,3,2,2
25,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",4,3,3,4
26,6,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",4,3,2,3
27,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,1,1,4
28,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
29,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",3,3,1,3
30,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",1,2,1,3
31,2,0,"Management and Technology (TUM)",NA,"Computer Engineering",1,1,1,1
32,8,1,"other","Master&#039;s in Management and Innovation","Innovation and Entrepreneurship",5,3,3,1
33,4,1,"Management and Technology (TUM)",NA,"Informatics",3,1,2,2
34,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,3,2,1
35,4,0,"other","Wirtschaftsinformatik(TUM)","Informatics",2,1,1,1
36,4,0,"other","Information Systems","Informatics",2,1,1,1
37,4,1,"other","Information System","Informatics",5,5,5,3
38,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
39,4,0,"other","Information Systems","none",1,1,1,1
40,6,0,"other","Information Systems","none",2,1,1,1
41,6,0,"other","Wirtschaftsinformatik","Informatics",1,1,1,1
42,6,1,"Management and Technology (TUM)",NA,"Marketing, Strategy and Leadership",5,5,5,3
43,4,0,"other","Wirtschaftsinformatik","none",3,3,4,3
44,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
45,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",2,2,2,3
46,4,1,"Management and Technology (TUM)",NA,"none",3,2,2,2
47,6,1,"Management and Technology (TUM)",NA,"Informatics",3,2,2,1
48,1,0,"Business Education (Wirtschaftspädagogik) (TUM)","Master Wirtschaftspädagogik","none",1,1,1,1
49,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,4,4,2
50,4,1,"Management and Technology (TUM)",NA,"Chemistry",4,5,3,2
51,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",4,2,2,2
52,6,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,3,2,3
53,4,0,"other","Wirtschaftsinformatik","Informatics",2,1,1,1
54,4,1,"Management and Technology (TUM)",NA,"Medicine",3,2,2,2
55,4,0,"other","Winfo","Informatics",1,1,1,1
56,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,3,3,2
57,4,0,"other","Information Systems","none",1,1,1,1
58,6,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,2,2,1
59,6,0,"other","Wirtschaftsinformatik","none",1,1,1,1
60,4,1,"Management and Technology (TUM)",NA,"Informatics",5,3,4,4
61,4,0,"other","Wirtschaftsinformatik","none",1,1,1,1
62,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,3,2,2
63,4,0,"other","Bioökonomie","none",1,1,1,1
64,4,0,"other","Information Systems","none",4,2,2,1
65,4,0,"Management and Technology (TUM)",NA,"Medicine",2,1,1,3
66,2,0,"Management and Technology (TUM)",NA,"Computer Engineering",2,1,1,1
67,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,3,3,3
68,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,4,4,5
69,3,0,"Management and Technology (TUM)",NA,"Informatics",1,1,1,1
70,6,1,"other","Wirtschaftsinformatik","Informatics",4,3,3,2
71,4,0,"other","Wirtschaftsinformatik","none",3,1,2,1
72,4,1,"Management and Technology (TUM)",NA,"Medicine",2,2,1,2
73,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,2,3
74,4,1,"Management and Technology (TUM)",NA,"Finance and Accounting",4,4,2,1
75,7,0,"other","Information Systems","Informatics",5,3,3,2
76,4,0,"other","Wirtschaftsinformatik","Informatics",3,3,3,3
77,4,0,"other","Information Systems","none",2,1,1,1
78,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",5,4,3,4
79,4,1,"Management and Technology (TUM)",NA,"Medicine",4,2,2,4
80,6,1,"other","Wirtschaftsinformatik","Informatics",4,2,2,2
81,2,0,"other","Wirtschaftsinformatik","none",3,1,1,1
82,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,2,2,4
83,4,0,"Management and Technology (TUM)",NA,"Informatics",2,1,1,1
84,4,1,"Management and Technology (TUM)",NA,"Informatics",4,2,2,2
85,4,0,"other","Information Systems","Finance and Accounting",3,4,4,1
86,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,1,1,2
