id,semester_nr,statistic_course,ba_program,other_ba,specialization,statistics_1,statistics_2,statistics_3,statistics_4
1,4,1,Management and Technology (TUM),,Medicine,3,4,2,2
2,6,1,Management and Technology (TUM),,Informatics,4,2,3,3
3,4,1,Management and Technology (TUM),,Mechanical Engineering,1,1,1,1
4,4,0,other,,"Marketing, Strategy and Leadership",2,2,1,1
5,6,1,Management and Technology (TUM),,Mechanical Engineering,4,2,2,3
6,6,0,other,Information Systems,Informatics,2,2,1,2
7,8,1,other,Information Systems B.Sc.,Informatics,2,1,1,1
8,4,1,Management and Technology (TUM),,Mechanical Engineering,5,3,3,3
9,8,1,other,Information Systems,none,4,2,1,1
10,6,1,Management and Technology (TUM),,Computer Engineering,3,2,1,3
11,4,1,Management and Technology (TUM),,Informatics,3,2,2,3
12,4,1,Management and Technology (TUM),,Mechanical Engineering,1,1,1,1
13,4,0,other,Wirtschaftsinformatik B.Sc.,Informatics,1,1,1,1
14,2,0,other,MSc- &quot;Politics and Technology&quot;,Economics and Policy,4,3,3,3
15,6,1,Management and Technology (TUM),,Electrical and Information Technology,1,1,1,1
16,4,1,Management and Technology (TUM),,Informatics,4,3,3,1
17,4,1,Management and Technology (TUM),,Medicine,4,2,1,1
18,4,1,Management and Technology (TUM),,Computer Engineering,4,4,3,3
19,4,0,other,Information Systems,none,1,1,1,1
20,4,0,other,winfo,none,1,1,1,1
21,4,0,Management and Technology (TUM),,"Marketing, Strategy and Leadership",4,4,1,1
22,4,1,Management and Technology (TUM),,Medicine,4,3,1,3
23,4,1,Management and Technology (TUM),,Informatics,4,3,3,3
24,4,0,Management and Technology (TUM),,Computer Engineering,1,1,1,1
25,4,1,Management and Technology (TUM),,Mechanical Engineering,2,1,1,1
26,4,1,Management and Technology (TUM),,Informatics,1,2,2,2
27,4,1,Management and Technology (TUM),,Computer Engineering,1,3,1,2
28,4,1,Management and Technology (TUM),,Computer Engineering,1,1,1,1
29,4,1,Management and Technology (TUM),,Chemistry,3,1,2,2
30,4,1,Management and Technology (TUM),,Mechanical Engineering,4,4,3,2
31,4,0,other,Information Systems,none,1,1,1,1
32,4,0,other,Information Systems,Informatics,3,1,1,1
33,6,1,Management and Technology (TUM),,Informatics,3,2,1,1
34,4,0,Business Education (Wirtschaftspädagogik) (TUM),,Informatics,1,1,1,1
35,4,1,Management and Technology (TUM),,other,5,2,2,1
36,4,1,Management and Technology (TUM),,Chemistry,4,3,3,1
37,2,0,other,Cologne Business school,"Marketing, Strategy and Leadership",3,3,2,1
38,4,0,other,Wirtschaftsinformatik,none,1,1,1,1
39,4,0,Management and Technology (TUM),,none,4,2,1,2
40,2,0,other,Geowissenschaften,none,4,4,1,2
41,4,1,Management and Technology (TUM),,Informatics,5,5,5,2
