,children,agefbrth,educ,age,evermarr,urban,electric,tv,usemeth,heduc,religion,frsthalf,agefm,scholarship,educ7
0,4,17.0,7,25,1,0,0,0,0,7,0.0,0,15.0,1.0,True
1,2,21.0,7,32,0,1,0,0,0,0,0.0,0,,0.0,True
2,7,14.0,1,41,1,1,0,0,1,0,0.0,0,16.0,0.0,False
3,0,,7,16,0,1,0,0,0,0,0.0,1,,1.0,True
4,4,17.0,0,31,0,0,0,0,1,0,0.0,1,,1.0,False
5,4,26.0,3,41,1,1,0,0,1,10,0.0,0,15.0,0.0,False
6,1,16.0,0,24,1,1,0,0,0,7,0.0,0,16.0,1.0,False
7,1,16.0,0,20,0,1,0,0,0,0,0.0,1,,0.0,False
8,2,19.0,10,22,0,1,0,0,1,0,1.0,1,,0.0,True
9,4,17.0,3,30,1,1,1,0,1,0,0.0,0,16.0,0.0,False
10,0,,12,22,0,1,1,1,1,0,0.0,1,,1.0,True
11,0,,7,17,0,1,0,0,0,0,1.0,0,,0.0,True
12,2,19.0,2,26,1,1,1,0,1,10,1.0,1,26.0,0.0,False
13,0,,7,17,0,1,0,0,0,0,0.0,0,,1.0,True
14,1,26.0,0,29,1,0,0,0,0,0,0.0,1,26.0,0.0,False
15,5,20.0,0,43,1,1,0,0,1,7,1.0,1,38.0,1.0,False
16,1,16.0,9,17,0,0,1,0,1,0,0.0,0,,1.0,True
17,0,,7,16,0,1,0,0,0,0,0.0,0,,0.0,True
18,0,,10,16,0,1,1,1,0,0,0.0,0,,0.0,True
19,2,23.0,8,31,1,1,0,0,1,7,0.0,0,29.0,1.0,True
20,3,16.0,3,20,1,1,0,0,1,4,1.0,0,20.0,0.0,False
21,4,17.0,2,26,1,1,0,0,0,3,1.0,0,22.0,0.0,False
22,1,16.0,7,17,0,0,0,0,0,0,1.0,1,,1.0,True
23,1,18.0,7,22,0,1,0,0,1,0,0.0,0,,0.0,True
24,0,,7,17,0,1,0,0,0,0,0.0,0,,1.0,True
25,0,,7,19,0,1,1,0,0,0,0.0,1,,0.0,True
26,3,16.0,7,27,0,0,0,0,1,0,0.0,0,,0.0,True
27,3,17.0,3,26,1,0,0,0,1,0,1.0,1,20.0,1.0,False
28,0,,1,25,0,1,0,0,0,0,0.0,1,,0.0,False
29,1,16.0,7,18,0,0,0,0,1,0,1.0,0,,1.0,True
